Col1: Sensor [V]	Col2: Absolute time (Y:M:D - H:M:S)	Col3: Absolute time (epoch) [sec]
-0.1126143565	2020 Jul 13 - 10:38:08	001594629488.777
-0.1727242728	2020 Jul 13 - 10:38:09	001594629489.788
-0.2899565260	2020 Jul 13 - 10:38:10	001594629490.798
-0.8065836712	2020 Jul 13 - 10:38:11	001594629491.808
00.1411693298	2020 Jul 13 - 10:38:12	001594629492.823
-0.1911230805	2020 Jul 13 - 10:38:13	001594629493.834
00.3658533658	2020 Jul 13 - 10:38:14	001594629494.844
00.4498424666	2020 Jul 13 - 10:38:15	001594629495.867
-0.8874392562	2020 Jul 13 - 10:38:16	001594629496.889
00.0500513230	2020 Jul 13 - 10:38:17	001594629497.913
-0.4458052279	2020 Jul 13 - 10:38:18	001594629498.923
00.7442479488	2020 Jul 13 - 10:38:19	001594629499.935
-0.3448146181	2020 Jul 13 - 10:38:20	001594629500.952
00.2333353947	2020 Jul 13 - 10:38:21	001594629501.963
00.0759062476	2020 Jul 13 - 10:38:22	001594629502.974
-0.7844068952	2020 Jul 13 - 10:38:23	001594629503.991
00.9591918706	2020 Jul 13 - 10:38:25	001594629505.020
-0.8747204828	2020 Jul 13 - 10:38:26	001594629506.031
00.4203636637	2020 Jul 13 - 10:38:27	001594629507.048
00.0616854413	2020 Jul 13 - 10:38:28	001594629508.068
00.8806390101	2020 Jul 13 - 10:38:29	001594629509.093
00.1849497819	2020 Jul 13 - 10:38:30	001594629510.115
-0.8097443382	2020 Jul 13 - 10:38:31	001594629511.139
-0.6662925959	2020 Jul 13 - 10:38:32	001594629512.168
00.2760607590	2020 Jul 13 - 10:38:33	001594629513.183
-0.1963936036	2020 Jul 13 - 10:38:34	001594629514.193
00.0730375906	2020 Jul 13 - 10:38:35	001594629515.210
-0.1480021101	2020 Jul 13 - 10:38:36	001594629516.233
00.6881572914	2020 Jul 13 - 10:38:37	001594629517.243
00.5057346793	2020 Jul 13 - 10:38:38	001594629518.254
00.7097081923	2020 Jul 13 - 10:38:39	001594629519.275
-0.4898600271	2020 Jul 13 - 10:38:40	001594629520.307
-0.9144501787	2020 Jul 13 - 10:38:41	001594629521.324
-0.4650086206	2020 Jul 13 - 10:38:42	001594629522.341
00.5658253294	2020 Jul 13 - 10:38:43	001594629523.356
-0.6424154510	2020 Jul 13 - 10:38:44	001594629524.366
-0.3056194326	2020 Jul 13 - 10:38:45	001594629525.376
-0.2715138825	2020 Jul 13 - 10:38:46	001594629526.387
-0.7738454228	2020 Jul 13 - 10:38:47	001594629527.404
-0.2273734710	2020 Jul 13 - 10:38:48	001594629528.427
-0.5939079193	2020 Jul 13 - 10:38:49	001594629529.444
00.6026729871	2020 Jul 13 - 10:38:50	001594629530.461
-0.0220568076	2020 Jul 13 - 10:38:51	001594629531.476
-0.2920992726	2020 Jul 13 - 10:38:52	001594629532.493
00.7450766376	2020 Jul 13 - 10:38:53	001594629533.525
-0.3629876696	2020 Jul 13 - 10:38:54	001594629534.535
-0.3554009422	2020 Jul 13 - 10:38:55	001594629535.563
-0.6444582117	2020 Jul 13 - 10:38:56	001594629536.575
-0.6645048860	2020 Jul 13 - 10:38:57	001594629537.600
00.1733508324	2020 Jul 13 - 10:38:58	001594629538.615
-0.5513500839	2020 Jul 13 - 10:38:59	001594629539.625
00.3720568562	2020 Jul 13 - 10:39:00	001594629540.635
-0.8582453376	2020 Jul 13 - 10:39:01	001594629541.652
-0.1565238258	2020 Jul 13 - 10:39:02	001594629542.668
-0.6934715795	2020 Jul 13 - 10:39:03	001594629543.678
-0.6134068220	2020 Jul 13 - 10:39:04	001594629544.688
00.4882215792	2020 Jul 13 - 10:39:05	001594629545.699
00.9396325601	2020 Jul 13 - 10:39:06	001594629546.710
-0.9275814712	2020 Jul 13 - 10:39:07	001594629547.720
00.3542844717	2020 Jul 13 - 10:39:08	001594629548.736
00.0670073493	2020 Jul 13 - 10:39:09	001594629549.760
00.7518680100	2020 Jul 13 - 10:39:10	001594629550.771
-0.9626809127	2020 Jul 13 - 10:39:11	001594629551.788
00.5381795670	2020 Jul 13 - 10:39:12	001594629552.799
00.0800207403	2020 Jul 13 - 10:39:13	001594629553.810
00.7727284050	2020 Jul 13 - 10:39:14	001594629554.832
-0.0753258929	2020 Jul 13 - 10:39:15	001594629555.849
00.3355627617	2020 Jul 13 - 10:39:16	001594629556.859
00.8847221502	2020 Jul 13 - 10:39:17	001594629557.884
00.8688913027	2020 Jul 13 - 10:39:18	001594629558.895
-0.2701852901	2020 Jul 13 - 10:39:19	001594629559.936
-0.2444030928	2020 Jul 13 - 10:39:20	001594629560.954
-0.2442764339	2020 Jul 13 - 10:39:21	001594629561.981
00.7796891261	2020 Jul 13 - 10:39:22	001594629562.992
00.6568360827	2020 Jul 13 - 10:39:24	001594629564.003
-0.8596413346	2020 Jul 13 - 10:39:25	001594629565.026
00.6426270353	2020 Jul 13 - 10:39:26	001594629566.038
00.5636565717	2020 Jul 13 - 10:39:27	001594629567.049
00.3862162114	2020 Jul 13 - 10:39:28	001594629568.059
00.6804288535	2020 Jul 13 - 10:39:29	001594629569.076
00.7047412465	2020 Jul 13 - 10:39:30	001594629570.097
00.5612979250	2020 Jul 13 - 10:39:31	001594629571.121
00.7153631685	2020 Jul 13 - 10:39:32	001594629572.150
-0.9734082607	2020 Jul 13 - 10:39:33	001594629573.168
00.5245236815	2020 Jul 13 - 10:39:34	001594629574.179
-0.1034975594	2020 Jul 13 - 10:39:35	001594629575.196
00.1656125509	2020 Jul 13 - 10:39:36	001594629576.207
-0.3072043502	2020 Jul 13 - 10:39:37	001594629577.218
-0.2021031810	2020 Jul 13 - 10:39:38	001594629578.228
00.3739455573	2020 Jul 13 - 10:39:39	001594629579.245
-0.5411602244	2020 Jul 13 - 10:39:40	001594629580.267
-0.8225804727	2020 Jul 13 - 10:39:41	001594629581.283
-0.7455476371	2020 Jul 13 - 10:39:42	001594629582.300
00.3592446729	2020 Jul 13 - 10:39:43	001594629583.310
00.1004500451	2020 Jul 13 - 10:39:44	001594629584.333
00.2682261578	2020 Jul 13 - 10:39:45	001594629585.349
00.1755207352	2020 Jul 13 - 10:39:46	001594629586.366
00.4328566563	2020 Jul 13 - 10:39:47	001594629587.377
-0.6603358277	2020 Jul 13 - 10:39:48	001594629588.413
00.3653455438	2020 Jul 13 - 10:39:49	001594629589.455
00.7651560593	2020 Jul 13 - 10:39:50	001594629590.465
00.8644357957	2020 Jul 13 - 10:39:51	001594629591.488
-0.5244050098	2020 Jul 13 - 10:39:52	001594629592.498
-0.0105590579	2020 Jul 13 - 10:39:53	001594629593.515
00.4771283434	2020 Jul 13 - 10:39:54	001594629594.532
-0.0857084949	2020 Jul 13 - 10:39:55	001594629595.549
-0.0271087442	2020 Jul 13 - 10:39:56	001594629596.566
00.1244641431	2020 Jul 13 - 10:39:57	001594629597.589
00.7016851549	2020 Jul 13 - 10:39:58	001594629598.605
-0.1540157884	2020 Jul 13 - 10:39:59	001594629599.617
-0.6701159560	2020 Jul 13 - 10:40:00	001594629600.641
-0.1505235590	2020 Jul 13 - 10:40:01	001594629601.652
00.3412170265	2020 Jul 13 - 10:40:02	001594629602.662
00.5400158566	2020 Jul 13 - 10:40:03	001594629603.679
00.0469936502	2020 Jul 13 - 10:40:04	001594629604.689
00.3484127914	2020 Jul 13 - 10:40:05	001594629605.712
00.6203565890	2020 Jul 13 - 10:40:06	001594629606.733
-0.8470084027	2020 Jul 13 - 10:40:07	001594629607.744
-0.4766459028	2020 Jul 13 - 10:40:08	001594629608.755
00.0435898966	2020 Jul 13 - 10:40:09	001594629609.763
00.9883429670	2020 Jul 13 - 10:40:10	001594629610.785
-0.9199859510	2020 Jul 13 - 10:40:11	001594629611.800
00.2822692092	2020 Jul 13 - 10:40:12	001594629612.809
-0.5122545787	2020 Jul 13 - 10:40:13	001594629613.818
00.2143710158	2020 Jul 13 - 10:40:14	001594629614.827
00.3303691322	2020 Jul 13 - 10:40:15	001594629615.857
-0.0308239719	2020 Jul 13 - 10:40:16	001594629616.877
-0.5687690844	2020 Jul 13 - 10:40:17	001594629617.888
-0.7009824835	2020 Jul 13 - 10:40:18	001594629618.906
-0.3228174664	2020 Jul 13 - 10:40:19	001594629619.950
-0.9095727967	2020 Jul 13 - 10:40:20	001594629620.976
00.3344181682	2020 Jul 13 - 10:40:21	001594629621.985
00.2383514251	2020 Jul 13 - 10:40:22	001594629622.997
-0.4366469067	2020 Jul 13 - 10:40:24	001594629624.013
-0.5358294174	2020 Jul 13 - 10:40:25	001594629625.027
-0.0010658058	2020 Jul 13 - 10:40:26	001594629626.039
00.0461929859	2020 Jul 13 - 10:40:27	001594629627.055
-0.4580453483	2020 Jul 13 - 10:40:28	001594629628.065
-0.4195767526	2020 Jul 13 - 10:40:29	001594629629.076
00.5275388647	2020 Jul 13 - 10:40:30	001594629630.087
-0.6596532686	2020 Jul 13 - 10:40:31	001594629631.109
00.0752506664	2020 Jul 13 - 10:40:32	001594629632.120
-0.2122531009	2020 Jul 13 - 10:40:33	001594629633.137
-0.5106657736	2020 Jul 13 - 10:40:34	001594629634.148
00.2322615254	2020 Jul 13 - 10:40:35	001594629635.175
00.2166160029	2020 Jul 13 - 10:40:36	001594629636.186
00.6350031713	2020 Jul 13 - 10:40:37	001594629637.202
00.2585315566	2020 Jul 13 - 10:40:38	001594629638.220
-0.3988141470	2020 Jul 13 - 10:40:39	001594629639.242
-0.3536736919	2020 Jul 13 - 10:40:40	001594629640.253
-0.9931804696	2020 Jul 13 - 10:40:41	001594629641.277
-0.5108147112	2020 Jul 13 - 10:40:42	001594629642.294
-0.2947204682	2020 Jul 13 - 10:40:43	001594629643.311
-0.3133546775	2020 Jul 13 - 10:40:44	001594629644.322
00.1895247145	2020 Jul 13 - 10:40:45	001594629645.345
00.1255691444	2020 Jul 13 - 10:40:46	001594629646.363
-0.8277048460	2020 Jul 13 - 10:40:47	001594629647.381
-0.7407134484	2020 Jul 13 - 10:40:48	001594629648.398
00.8164853735	2020 Jul 13 - 10:40:49	001594629649.424
-0.6390088211	2020 Jul 13 - 10:40:50	001594629650.453
00.1707727951	2020 Jul 13 - 10:40:51	001594629651.475
00.4162897936	2020 Jul 13 - 10:40:52	001594629652.486
00.5652385595	2020 Jul 13 - 10:40:53	001594629653.503
-0.4761545145	2020 Jul 13 - 10:40:54	001594629654.519
-0.3495114042	2020 Jul 13 - 10:40:55	001594629655.543
-0.2752543997	2020 Jul 13 - 10:40:56	001594629656.555
-0.3671081497	2020 Jul 13 - 10:40:57	001594629657.567
-0.3293192454	2020 Jul 13 - 10:40:58	001594629658.584
00.1618933338	2020 Jul 13 - 10:40:59	001594629659.604
-0.2481244111	2020 Jul 13 - 10:41:00	001594629660.627
00.2764944779	2020 Jul 13 - 10:41:01	001594629661.644
-0.8080962837	2020 Jul 13 - 10:41:02	001594629662.654
-0.9145922086	2020 Jul 13 - 10:41:03	001594629663.672
-0.3849207905	2020 Jul 13 - 10:41:04	001594629664.683
-0.4639895072	2020 Jul 13 - 10:41:05	001594629665.702
00.1630394092	2020 Jul 13 - 10:41:06	001594629666.719
00.9071662920	2020 Jul 13 - 10:41:07	001594629667.730
00.4659704414	2020 Jul 13 - 10:41:08	001594629668.742
-0.7461742426	2020 Jul 13 - 10:41:09	001594629669.766
-0.0646375441	2020 Jul 13 - 10:41:10	001594629670.782
00.9281735995	2020 Jul 13 - 10:41:11	001594629671.805
-0.6445707854	2020 Jul 13 - 10:41:12	001594629672.817
00.0988499013	2020 Jul 13 - 10:41:13	001594629673.827
00.3935265435	2020 Jul 13 - 10:41:14	001594629674.844
-0.6321684345	2020 Jul 13 - 10:41:15	001594629675.867
00.8455610390	2020 Jul 13 - 10:41:16	001594629676.890
-0.3894242304	2020 Jul 13 - 10:41:17	001594629677.907
-0.7729403764	2020 Jul 13 - 10:41:18	001594629678.926
00.0305506040	2020 Jul 13 - 10:41:19	001594629679.943
00.0688095485	2020 Jul 13 - 10:41:20	001594629680.967
00.0964630076	2020 Jul 13 - 10:41:21	001594629681.980
00.6111669724	2020 Jul 13 - 10:41:23	001594629683.009
00.1506285821	2020 Jul 13 - 10:41:24	001594629684.025
-0.9381487266	2020 Jul 13 - 10:41:25	001594629685.036
-0.0214327799	2020 Jul 13 - 10:41:26	001594629686.060
-0.0270755783	2020 Jul 13 - 10:41:27	001594629687.082
00.2104056728	2020 Jul 13 - 10:41:28	001594629688.098
-0.7719763071	2020 Jul 13 - 10:41:29	001594629689.114
00.3483578859	2020 Jul 13 - 10:41:30	001594629690.131
-0.9808895044	2020 Jul 13 - 10:41:31	001594629691.142
-0.0722009869	2020 Jul 13 - 10:41:32	001594629692.158
-0.9819432802	2020 Jul 13 - 10:41:33	001594629693.175
-0.8028174240	2020 Jul 13 - 10:41:34	001594629694.205
-0.6013739370	2020 Jul 13 - 10:41:35	001594629695.229
-0.7989998422	2020 Jul 13 - 10:41:36	001594629696.239
-0.7500957418	2020 Jul 13 - 10:41:37	001594629697.268
00.4827334565	2020 Jul 13 - 10:41:38	001594629698.278
-0.1253665718	2020 Jul 13 - 10:41:39	001594629699.300
-0.9292973941	2020 Jul 13 - 10:41:40	001594629700.310
00.3206303564	2020 Jul 13 - 10:41:41	001594629701.321
00.6005270427	2020 Jul 13 - 10:41:42	001594629702.345
00.2809423194	2020 Jul 13 - 10:41:43	001594629703.362
00.8348324332	2020 Jul 13 - 10:41:44	001594629704.379
-0.9817439370	2020 Jul 13 - 10:41:45	001594629705.390
-0.2862778148	2020 Jul 13 - 10:41:46	001594629706.407
00.5493321307	2020 Jul 13 - 10:41:47	001594629707.424
-0.6471808702	2020 Jul 13 - 10:41:48	001594629708.441
00.4825332097	2020 Jul 13 - 10:41:49	001594629709.452
-0.5495712737	2020 Jul 13 - 10:41:50	001594629710.463
-0.2999491990	2020 Jul 13 - 10:41:51	001594629711.478
00.2990900624	2020 Jul 13 - 10:41:52	001594629712.495
00.5713983640	2020 Jul 13 - 10:41:53	001594629713.516
-0.0646962627	2020 Jul 13 - 10:41:54	001594629714.527
00.4472701351	2020 Jul 13 - 10:41:55	001594629715.544
00.3720942635	2020 Jul 13 - 10:41:56	001594629716.567
-0.3893101277	2020 Jul 13 - 10:41:57	001594629717.590
-0.0673500896	2020 Jul 13 - 10:41:58	001594629718.610
-0.5771311721	2020 Jul 13 - 10:41:59	001594629719.628
00.8368162349	2020 Jul 13 - 10:42:00	001594629720.660
00.0447755315	2020 Jul 13 - 10:42:01	001594629721.675
00.9416646176	2020 Jul 13 - 10:42:02	001594629722.705
-0.0133955769	2020 Jul 13 - 10:42:03	001594629723.735
00.4264164870	2020 Jul 13 - 10:42:04	001594629724.750
00.0960375392	2020 Jul 13 - 10:42:05	001594629725.761
-0.0864450919	2020 Jul 13 - 10:42:06	001594629726.783
-0.2254935465	2020 Jul 13 - 10:42:07	001594629727.795
-0.0892977361	2020 Jul 13 - 10:42:08	001594629728.807
-0.2015261302	2020 Jul 13 - 10:42:09	001594629729.831
-0.9989740624	2020 Jul 13 - 10:42:10	001594629730.848
00.6069051748	2020 Jul 13 - 10:42:11	001594629731.864
-0.8420687976	2020 Jul 13 - 10:42:12	001594629732.876
-0.2066393425	2020 Jul 13 - 10:42:13	001594629733.886
00.6153921330	2020 Jul 13 - 10:42:14	001594629734.914
-0.0050419854	2020 Jul 13 - 10:42:15	001594629735.938
-0.9598123502	2020 Jul 13 - 10:42:16	001594629736.955
00.5468941669	2020 Jul 13 - 10:42:17	001594629737.965
-0.3536459962	2020 Jul 13 - 10:42:18	001594629738.982
-0.7309627988	2020 Jul 13 - 10:42:19	001594629739.993
-0.8679331828	2020 Jul 13 - 10:42:21	001594629741.010
-0.8412963202	2020 Jul 13 - 10:42:22	001594629742.027
00.5375186023	2020 Jul 13 - 10:42:23	001594629743.037
00.3387045635	2020 Jul 13 - 10:42:24	001594629744.046
00.0923492960	2020 Jul 13 - 10:42:25	001594629745.062
00.6804747048	2020 Jul 13 - 10:42:26	001594629746.080
00.0257844736	2020 Jul 13 - 10:42:27	001594629747.097
-0.3898372397	2020 Jul 13 - 10:42:28	001594629748.120
00.4155814361	2020 Jul 13 - 10:42:29	001594629749.130
00.4123274573	2020 Jul 13 - 10:42:30	001594629750.141
-0.4357558834	2020 Jul 13 - 10:42:31	001594629751.158
00.6115586410	2020 Jul 13 - 10:42:32	001594629752.181
00.6199164159	2020 Jul 13 - 10:42:33	001594629753.192
-0.8723328572	2020 Jul 13 - 10:42:34	001594629754.210
00.7587949746	2020 Jul 13 - 10:42:35	001594629755.221
-0.1081141346	2020 Jul 13 - 10:42:36	001594629756.232
-0.3850440853	2020 Jul 13 - 10:42:37	001594629757.242
-0.3793541241	2020 Jul 13 - 10:42:38	001594629758.258
-0.7654372392	2020 Jul 13 - 10:42:39	001594629759.267
00.2172018090	2020 Jul 13 - 10:42:40	001594629760.278
00.3518174815	2020 Jul 13 - 10:42:41	001594629761.296
-0.5300327895	2020 Jul 13 - 10:42:42	001594629762.319
-0.0313361172	2020 Jul 13 - 10:42:43	001594629763.329
00.2299666128	2020 Jul 13 - 10:42:44	001594629764.340
00.5065290793	2020 Jul 13 - 10:42:45	001594629765.357
-0.2344236102	2020 Jul 13 - 10:42:46	001594629766.373
-0.0645082600	2020 Jul 13 - 10:42:47	001594629767.390
00.9629762297	2020 Jul 13 - 10:42:48	001594629768.423
-0.5504975711	2020 Jul 13 - 10:42:49	001594629769.456
-0.2147288909	2020 Jul 13 - 10:42:50	001594629770.467
-0.0355271582	2020 Jul 13 - 10:42:51	001594629771.490
-0.6168018469	2020 Jul 13 - 10:42:52	001594629772.507
00.7227046144	2020 Jul 13 - 10:42:53	001594629773.518
-0.5279442255	2020 Jul 13 - 10:42:54	001594629774.541
-0.2901065728	2020 Jul 13 - 10:42:55	001594629775.559
-0.1226478649	2020 Jul 13 - 10:42:56	001594629776.576
00.3554116300	2020 Jul 13 - 10:42:57	001594629777.601
-0.9360983807	2020 Jul 13 - 10:42:58	001594629778.620
00.5083284109	2020 Jul 13 - 10:42:59	001594629779.652
-0.6372450175	2020 Jul 13 - 10:43:00	001594629780.666
00.5936446349	2020 Jul 13 - 10:43:01	001594629781.689
-0.1509957922	2020 Jul 13 - 10:43:02	001594629782.707
