Col1: Sensor [V]	Col2: Absolute time (Y:M:D - H:M:S)	Col3: Absolute time (epoch) [sec]
at100->-0.015221 at101->0.969086 at102->2.048203 at103->3.026715 at104->3.984844 at105->4.992948 at106->5.956044 at107->6.965532 at108->7.996914 at109->9.03539 at110->10.025546 at111->10.999919 at112->11.967169 at113->12.985768	2020 Jul 09 - 14:47:50	001594298870.655
at100->-0.045264 at101->0.957295 at102->2.016633 at103->3.031978 at104->4.035752 at105->5.003009 at106->6.012253 at107->6.962068 at108->7.986824 at109->9.016339 at110->10.006497 at111->11.024278 at112->11.983954 at113->13.013989	2020 Jul 09 - 14:47:51	001594298871.682
at100->0.028976 at101->0.967427 at102->1.980057 at103->2.985328 at104->3.961999 at105->5.024132 at106->6.012139 at107->7.034736 at108->8.035787 at109->8.993921 at110->9.982582 at111->10.995325 at112->12.008861 at113->12.959649	2020 Jul 09 - 14:47:52	001594298872.706
at100->-0.033617 at101->0.996009 at102->2.01148 at103->2.996521 at104->4.036797 at105->4.963384 at106->5.985336 at107->6.964876 at108->7.953566 at109->8.95441 at110->10.030757 at111->11.044365 at112->12.011681 at113->12.99144	2020 Jul 09 - 14:47:53	001594298873.720
at100->0.040345 at101->0.959656 at102->1.965815 at103->3.028753 at104->3.954952 at105->4.964298 at106->5.952662 at107->6.959769 at108->8.037522 at109->9.023642 at110->10.030698 at111->11.039856 at112->12.018628 at113->12.951157	2020 Jul 09 - 14:47:54	001594298874.745
at100->-0.031803 at101->1.047727 at102->2.012467 at103->3.020844 at104->4.012249 at105->5.030041 at106->5.996926 at107->7.040636 at108->7.955591 at109->9.004019 at110->9.995623 at111->10.999393 at112->11.972002 at113->12.975028	2020 Jul 09 - 14:47:55	001594298875.757
at100->-0.029374 at101->0.988347 at102->1.968945 at103->2.986648 at104->4.033281 at105->5.013684 at106->5.976788 at107->7.016652 at108->7.961752 at109->9.047223 at110->9.970007 at111->11.03058 at112->12.016087 at113->12.97346	2020 Jul 09 - 14:47:56	001594298876.781
at100->-0.031291 at101->1.033877 at102->1.989669 at103->3.000358 at104->3.978184 at105->4.991976 at106->5.988125 at107->7.037709 at108->7.96151 at109->8.984205 at110->9.997229 at111->11.040937 at112->11.958421 at113->13.013727	2020 Jul 09 - 14:47:57	001594298877.803
at100->-0.007046 at101->1.005521 at102->2.020655 at103->3.001206 at104->3.959774 at105->4.998122 at106->6.036399 at107->6.972738 at108->7.958426 at109->8.972455 at110->10.04533 at111->11.011143 at112->11.960624 at113->13.041348	2020 Jul 09 - 14:47:58	001594298878.830
at100->-0.031756 at101->0.963496 at102->1.958643 at103->3.037521 at104->4.020161 at105->5.035371 at106->5.993499 at107->6.950333 at108->8.036489 at109->8.95957 at110->9.954619 at111->10.9624 at112->12.027895 at113->13.003286	2020 Jul 09 - 14:47:59	001594298879.852
at100->0.003315 at101->1.041649 at102->2.02331 at103->3.034216 at104->3.992674 at105->4.953003 at106->5.959737 at107->6.975277 at108->8.044414 at109->9.013981 at110->10.022278 at111->10.966283 at112->12.007219 at113->12.978036	2020 Jul 09 - 14:48:00	001594298880.868
at100->-0.03082 at101->0.979343 at102->2.038662 at103->3.039649 at104->4.016025 at105->5.033081 at106->6.01778 at107->6.981693 at108->8.009364 at109->9.038921 at110->10.031755 at111->10.972855 at112->11.972169 at113->12.957317	2020 Jul 09 - 14:48:01	001594298881.885
at100->-0.005815 at101->0.950632 at102->1.969394 at103->3.039493 at104->4.049997 at105->4.95351 at106->6.037702 at107->7.033661 at108->8.026252 at109->8.975506 at110->9.984083 at111->11.043405 at112->11.959591 at113->12.980581	2020 Jul 09 - 14:48:02	001594298882.912
at100->0.01845 at101->0.987725 at102->1.975056 at103->2.964844 at104->3.995812 at105->5.044936 at106->5.950331 at107->6.970907 at108->8.030483 at109->8.978763 at110->9.978666 at111->11.03197 at112->11.96853 at113->12.968213	2020 Jul 09 - 14:48:03	001594298883.932
at100->-0.044518 at101->0.971693 at102->2.014605 at103->2.993847 at104->4.041913 at105->5.037869 at106->5.997415 at107->6.956356 at108->8.049699 at109->8.986292 at110->9.986251 at111->10.981029 at112->12.003945 at113->13.030963	2020 Jul 09 - 14:48:04	001594298884.952
at100->-0.00944 at101->1.031659 at102->2.022482 at103->2.999099 at104->3.969396 at105->5.044467 at106->6.030543 at107->6.967495 at108->8.026403 at109->8.951914 at110->10.03565 at111->11.002861 at112->11.982016 at113->12.999563	2020 Jul 09 - 14:48:05	001594298885.971
at100->-0.005894 at101->0.970406 at102->1.955554 at103->3.025041 at104->4.02862 at105->4.99876 at106->6.0054 at107->6.995273 at108->7.987864 at109->8.952506 at110->9.992505 at111->11.02561 at112->11.950828 at113->12.996313	2020 Jul 09 - 14:48:06	001594298886.991
at100->0.002671 at101->0.960528 at102->1.968581 at103->2.992296 at104->4.013302 at105->4.975055 at106->5.994402 at107->7.016105 at108->7.986759 at109->8.982908 at110->10.003443 at111->10.975777 at112->11.977422 at113->12.98153	2020 Jul 09 - 14:48:08	001594298888.011
at100->0.03619 at101->1.045453 at102->1.975986 at103->3.047785 at104->3.999629 at105->4.996129 at106->5.974335 at107->6.969964 at108->7.967609 at109->9.048439 at110->9.987648 at111->10.97382 at112->12.016305 at113->13.011786	2020 Jul 09 - 14:48:09	001594298889.032
at100->0.021961 at101->1.035326 at102->1.983774 at103->2.985137 at104->4.004739 at105->4.961536 at106->6.03475 at107->7.024787 at108->7.967051 at109->8.972018 at110->9.958122 at111->10.963154 at112->12.000411 at113->13.047246	2020 Jul 09 - 14:48:10	001594298890.059
at100->-0.045472 at101->0.977337 at102->1.995522 at103->3.039088 at104->3.96834 at105->4.984772 at106->6.044638 at107->6.984609 at108->8.027387 at109->9.000833 at110->10.028652 at111->10.95912 at112->12.035533 at113->12.985929	2020 Jul 09 - 14:48:11	001594298891.073
at100->-0.02024 at101->1.028068 at102->2.037782 at103->2.952217 at104->3.993932 at105->4.989675 at106->6.000042 at107->7.004385 at108->8.038996 at109->8.952974 at110->10.00299 at111->10.979281 at112->11.953344 at113->12.992063	2020 Jul 09 - 14:48:12	001594298892.093
at100->-0.023288 at101->0.968192 at102->2.037553 at103->3.032896 at104->3.953042 at105->5.004585 at106->5.968539 at107->6.951641 at108->8.04676 at109->9.010458 at110->9.97193 at111->10.960057 at112->12.042072 at113->12.9769	2020 Jul 09 - 14:48:13	001594298893.124
at100->-0.048267 at101->0.992551 at102->2.03786 at103->3.03062 at104->4.036104 at105->5.027109 at106->6.045456 at107->7.018351 at108->7.955903 at109->8.990039 at110->9.980564 at111->10.981514 at112->12.026173 at113->12.985885	2020 Jul 09 - 14:48:14	001594298894.145
at100->-0.004798 at101->1.031961 at102->1.99162 at103->2.998023 at104->3.982115 at105->4.960835 at106->6.011811 at107->6.957954 at108->7.958481 at109->8.975219 at110->10.046709 at111->10.997905 at112->11.97684 at113->13.044383	2020 Jul 09 - 14:48:15	001594298895.165
at100->0.041408 at101->1.002879 at102->2.047406 at103->3.041861 at104->4.022494 at105->5.02646 at106->6.017201 at107->6.979697 at108->8.04857 at109->9.000341 at110->9.969855 at111->11.028323 at112->11.970577 at113->13.012244	2020 Jul 09 - 14:48:16	001594298896.185
at100->-0.0327 at101->0.950637 at102->2.048464 at103->3.021772 at104->3.951805 at105->4.980781 at106->6.035702 at107->7.039377 at108->8.022458 at109->9.011677 at110->9.958905 at111->11.044889 at112->11.965287 at113->12.964241	2020 Jul 09 - 14:48:17	001594298897.218
at100->0.023772 at101->0.953148 at102->2.007295 at103->3.036475 at104->4.025031 at105->5.008031 at106->5.987247 at107->7.033521 at108->8.042823 at109->9.040258 at110->9.99705 at111->11.048911 at112->11.962526 at113->12.969058	2020 Jul 09 - 14:48:18	001594298898.232
at100->-0.043022 at101->1.045787 at102->2.047388 at103->2.99688 at104->3.962505 at105->5.027424 at106->5.981126 at107->7.008876 at108->7.951613 at109->9.024105 at110->9.953373 at111->10.975666 at112->12.021994 at113->12.993206	2020 Jul 09 - 14:48:19	001594298899.245
at100->0.031986 at101->1.04812 at102->1.971198 at103->3.035624 at104->3.976972 at105->5.039807 at106->6.045322 at107->6.994422 at108->7.951366 at109->9.018125 at110->9.976034 at111->11.025857 at112->12.005565 at113->12.970663	2020 Jul 09 - 14:48:20	001594298900.266
at100->0.011814 at101->1.020933 at102->2.04218 at103->2.975099 at104->4.023444 at105->5.041531 at106->5.965624 at107->6.978802 at108->7.961297 at109->9.002967 at110->10.040926 at111->10.971826 at112->12.00902 at113->12.952737	2020 Jul 09 - 14:48:21	001594298901.290
at100->0.011307 at101->0.966244 at102->2.045269 at103->3.038783 at104->4.022315 at105->4.95306 at106->5.982771 at107->6.967844 at108->8.001552 at109->9.022776 at110->10.000576 at111->11.002419 at112->12.017564 at113->12.977812	2020 Jul 09 - 14:48:22	001594298902.306
at100->-0.007992 at101->0.971158 at102->1.987428 at103->2.963394 at104->3.987146 at105->5.022752 at106->6.03998 at107->6.989116 at108->8.036621 at109->8.99091 at110->9.981508 at111->11.018213 at112->12.028398 at113->13.007155	2020 Jul 09 - 14:48:23	001594298903.333
at100->0.028932 at101->0.950314 at102->1.979151 at103->3.044276 at104->3.953424 at105->4.998612 at106->6.000727 at107->7.037046 at108->7.965611 at109->9.042665 at110->10.011932 at111->11.020954 at112->12.005993 at113->13.036753	2020 Jul 09 - 14:48:24	001594298904.348
at100->-0.003028 at101->1.019104 at102->2.010343 at103->2.986992 at104->4.018969 at105->5.006731 at106->5.970081 at107->7.046426 at108->8.041553 at109->9.018688 at110->9.972369 at111->10.973742 at112->12.048659 at113->12.980718	2020 Jul 09 - 14:48:25	001594298905.376
at100->-0.046992 at101->1.01942 at102->2.007166 at103->2.977641 at104->4.008462 at105->4.965605 at106->6.045929 at107->7.039437 at108->7.969751 at109->8.981384 at110->10.010519 at111->11.029275 at112->11.969317 at113->12.98481	2020 Jul 09 - 14:48:26	001594298906.404
at100->-0.026847 at101->0.999404 at102->1.994735 at103->2.980859 at104->4.0044 at105->4.966426 at106->5.975011 at107->6.960264 at108->7.960771 at109->8.960461 at110->10.044727 at111->11.003527 at112->12.042085 at113->13.021306	2020 Jul 09 - 14:48:27	001594298907.425
at100->-0.000343 at101->1.025608 at102->1.999724 at103->3.027722 at104->3.976094 at105->4.962216 at106->6.023759 at107->6.959099 at108->7.976712 at109->9.018342 at110->9.960101 at111->10.999058 at112->12.018923 at113->12.999015	2020 Jul 09 - 14:48:28	001594298908.445
at100->0.009527 at101->0.978586 at102->1.958807 at103->3.016878 at104->4.016158 at105->4.959578 at106->6.031236 at107->6.954192 at108->7.950597 at109->8.993617 at110->10.010975 at111->10.964721 at112->11.977318 at113->12.966755	2020 Jul 09 - 14:48:29	001594298909.464
at100->0.01151 at101->1.023179 at102->2.039189 at103->3.002267 at104->3.967548 at105->5.011438 at106->6.020462 at107->7.041153 at108->8.005024 at109->8.95844 at110->10.03058 at111->11.042468 at112->12.03794 at113->12.959841	2020 Jul 09 - 14:48:30	001594298910.495
at100->-0.0393 at101->0.965692 at102->2.008851 at103->2.951334 at104->3.982679 at105->5.038578 at106->6.016574 at107->6.970968 at108->7.976807 at109->8.987061 at110->9.982532 at111->10.959544 at112->12.045693 at113->12.979411	2020 Jul 09 - 14:48:31	001594298911.525
at100->-0.041818 at101->0.956984 at102->1.985611 at103->3.034754 at104->3.975139 at105->5.041559 at106->6.004945 at107->6.987406 at108->7.995399 at109->8.966315 at110->9.966969 at111->10.956241 at112->12.048757 at113->13.023405	2020 Jul 09 - 14:48:32	001594298912.546
at100->-0.04849 at101->1.009478 at102->2.044312 at103->3.019237 at104->4.030316 at105->4.971276 at106->5.953653 at107->7.021289 at108->7.988365 at109->8.974227 at110->10.01486 at111->11.045262 at112->11.987797 at113->13.017851	2020 Jul 09 - 14:48:33	001594298913.560
at100->-0.02024 at101->0.95063 at102->2.034019 at103->2.961431 at104->4.024878 at105->4.953044 at106->5.981363 at107->7.001106 at108->7.972649 at109->9.033707 at110->9.978724 at111->11.017058 at112->11.955165 at113->13.044989	2020 Jul 09 - 14:48:34	001594298914.585
at100->-0.047932 at101->0.980122 at102->1.953216 at103->3.04096 at104->4.014363 at105->4.999849 at106->6.047746 at107->6.98273 at108->8.003492 at109->9.039469 at110->10.009589 at111->11.015258 at112->12.03353 at113->13.039928	2020 Jul 09 - 14:48:35	001594298915.607
at100->-0.01305 at101->0.981271 at102->2.030591 at103->2.986563 at104->4.044072 at105->4.954854 at106->6.026039 at107->7.023909 at108->8.046053 at109->9.02228 at110->9.965985 at111->11.00937 at112->12.013178 at113->13.001232	2020 Jul 09 - 14:48:36	001594298916.642
at100->-0.022629 at101->0.986659 at102->1.988174 at103->2.968744 at104->4.000049 at105->5.045863 at106->6.022479 at107->7.00698 at108->8.013752 at109->8.95028 at110->9.972691 at111->11.046273 at112->11.959757 at113->12.998994	2020 Jul 09 - 14:48:37	001594298917.670
at100->0.009655 at101->1.00033 at102->1.956727 at103->2.969441 at104->4.048698 at105->5.018017 at106->6.048663 at107->7.042506 at108->8.024302 at109->9.023712 at110->10.018308 at111->11.015556 at112->11.953989 at113->13.039209	2020 Jul 09 - 14:48:38	001594298918.691
at100->0.038722 at101->1.022949 at102->1.95519 at103->3.01013 at104->3.961487 at105->4.960043 at106->5.962592 at107->6.954267 at108->8.033172 at109->9.034994 at110->9.956612 at111->11.020216 at112->12.03033 at113->13.000735	2020 Jul 09 - 14:48:39	001594298919.707
at100->0.004897 at101->0.9547 at102->1.991926 at103->3.045808 at104->3.996124 at105->5.045381 at106->6.046522 at107->7.036514 at108->8.043557 at109->9.036791 at110->9.967686 at111->10.989479 at112->12.032675 at113->12.975412	2020 Jul 09 - 14:48:40	001594298920.731
at100->0.019954 at101->0.964014 at102->1.966342 at103->2.990974 at104->3.961433 at105->4.950863 at106->5.994114 at107->6.955033 at108->8.047551 at109->9.011632 at110->9.974616 at111->11.013229 at112->12.023215 at113->13.024631	2020 Jul 09 - 14:48:41	001594298921.752
at100->-0.004378 at101->1.043542 at102->1.961325 at103->2.974393 at104->3.994819 at105->5.030455 at106->6.042286 at107->7.010082 at108->7.988814 at109->8.964651 at110->10.019271 at111->10.994085 at112->11.998565 at113->12.980217	2020 Jul 09 - 14:48:42	001594298922.768
at100->-0.026153 at101->1.020114 at102->2.01394 at103->3.002151 at104->4.04357 at105->4.961176 at106->5.975436 at107->6.965764 at108->7.975634 at109->9.041602 at110->10.003922 at111->11.016991 at112->12.031352 at113->12.993345	2020 Jul 09 - 14:48:43	001594298923.789
at100->-0.024553 at101->1.007912 at102->1.966816 at103->2.978925 at104->4.030754 at105->5.025768 at106->5.988141 at107->6.95583 at108->8.033076 at109->9.044982 at110->9.986792 at111->10.982063 at112->12.004441 at113->13.034729	2020 Jul 09 - 14:48:44	001594298924.809
at100->0.03612 at101->0.978387 at102->1.985182 at103->3.022871 at104->4.022128 at105->5.015854 at106->6.009938 at107->6.989504 at108->8.047884 at109->8.988551 at110->10.037331 at111->10.999525 at112->12.042286 at113->13.001781	2020 Jul 09 - 14:48:45	001594298925.839
at100->-0.028855 at101->1.013025 at102->1.957192 at103->3.005666 at104->3.976016 at105->5.044313 at106->6.041502 at107->7.007817 at108->8.023847 at109->8.976304 at110->9.950082 at111->10.955571 at112->12.026597 at113->13.032922	2020 Jul 09 - 14:48:46	001594298926.854
at100->0.025693 at101->1.017764 at102->1.975709 at103->2.951939 at104->3.976484 at105->4.986691 at106->5.989949 at107->6.971892 at108->7.979275 at109->9.026242 at110->10.034583 at111->10.963133 at112->12.006971 at113->13.021278	2020 Jul 09 - 14:48:47	001594298927.883
at100->0.048603 at101->1.039391 at102->2.027145 at103->2.97571 at104->3.972728 at105->5.021423 at106->6.020909 at107->6.990053 at108->7.96868 at109->9.043795 at110->10.048463 at111->10.977492 at112->12.036033 at113->13.017754	2020 Jul 09 - 14:48:48	001594298928.905
at100->-0.015022 at101->0.981037 at102->2.011489 at103->2.981061 at104->3.996462 at105->5.019542 at106->6.009294 at107->7.025316 at108->7.953408 at109->8.988502 at110->9.971687 at111->11.033463 at112->11.96529 at113->13.022533	2020 Jul 09 - 14:48:49	001594298929.920
at100->-0.031735 at101->1.021529 at102->2.049405 at103->3.009981 at104->3.969215 at105->4.96264 at106->6.016279 at107->7.04113 at108->8.026971 at109->9.01721 at110->10.031194 at111->11.027873 at112->11.995488 at113->12.962682	2020 Jul 09 - 14:48:50	001594298930.941
at100->0.027119 at101->0.994256 at102->2.008323 at103->2.979287 at104->3.984347 at105->5.003079 at106->6.012544 at107->7.029154 at108->8.035562 at109->9.035004 at110->9.982095 at111->10.993482 at112->11.983494 at113->12.98944	2020 Jul 09 - 14:48:51	001594298931.968
at100->0.047613 at101->0.977832 at102->2.040277 at103->2.968382 at104->3.958222 at105->5.030502 at106->6.013378 at107->6.979642 at108->8.030541 at109->8.993222 at110->9.965772 at111->10.953246 at112->11.966019 at113->13.036743	2020 Jul 09 - 14:48:53	001594298933.011
at100->0.0163 at101->0.976459 at102->2.028265 at103->2.98413 at104->4.045608 at105->5.024873 at106->5.975705 at107->6.999066 at108->7.966511 at109->8.990875 at110->10.007531 at111->10.95299 at112->11.979585 at113->13.032503	2020 Jul 09 - 14:48:54	001594298934.027
